NDVI,QA,TIMEOFDAY,date
3992.998806112704,490.4703324198737,448.0,2023-05-05
4333.080620718918,707.8204456094367,430.0,2023-05-06
4528.203792636374,921.4975574883833,462.09358453392434,2023-05-07
2525.6865283406933,1048.6248659597288,530.0,2023-05-08
2002.737644425624,998.6750863815087,512.0,2023-05-09
1971.6981269321695,1261.6428571428576,454.0,2023-05-10
1836.9253786479494,1097.9092696294535,436.0,2023-05-11
2449.7768132003443,1029.4197545573693,511.9825144686614,2023-05-12
2814.2653209674477,1072.0577266769933,536.0,2023-05-13
1949.4257402101239,1050.7175026808059,518.0,2023-05-14
1360.0538885858036,1803.5509353032294,500.0,2023-05-15
3072.139540522519,1512.2603955677353,442.0,2023-05-16
1983.3395517793365,1796.472655784583,526.0327545868732,2023-05-17
2271.6629656160458,1024.254736089599,542.0,2023-05-18
3444.3025489471734,943.9174311926607,524.0,2023-05-19
2940.290950334289,866.4130823305137,506.0,2023-05-20
3959.0657089167726,587.0991302275706,448.0,2023-05-21
3211.976419160201,1074.208328368879,430.0,2023-05-22
3566.731375358166,884.5372929822473,429.3869388729704,2023-05-23
2869.4783293932232,1803.5509353032294,530.0,2023-05-24
3316.4690783190063,740.8490408673897,512.0,2023-05-25
2672.198424068768,821.657214345288,454.0,2023-05-26
3010.16332019766,937.3962826164665,436.0,2023-05-27
3321.8499283667625,1188.3734064101043,515.3887297039159,2023-05-28
1742.9250166696972,1766.3084713451692,536.0,2023-05-29
126.0391586349033,1803.5509353032294,518.0,2023-05-30
1439.5098495702007,1655.3612534254742,500.0,2023-05-31
4128.486876401769,678.1619206481594,442.0,2023-06-01
5537.882773057504,740.5085190039318,437.2633912079793,2023-06-02
2794.0001212341635,1048.6411295126898,542.0,2023-06-03
2418.5100394070173,1141.9146908137736,524.0,2023-06-04
2155.4065587682608,1205.9490646967715,506.0,2023-06-05
1999.3572770806807,1607.1184916001434,448.0,2023-06-06
1518.237073407286,1053.265816752056,430.0,2023-06-07
4328.83421228102,920.835458119862,517.6409044068618,2023-06-08
3225.095774989392,1019.8721553675683,530.0,2023-06-09
4408.932411953687,758.0410461098535,512.0,2023-06-10
3287.8853271251182,1679.0915048254506,454.0,2023-06-11
1039.0957749893917,1803.5509353032294,436.0,2023-06-12
1001.8786446020486,1776.3282497319199,533.2253136933988,2023-06-13
1828.192762320422,1789.276182533064,536.0,2023-06-14
1750.6292053100558,1801.1413082330516,518.0,2023-06-15
1720.5705587392556,1159.2401405933522,500.0,2023-06-16
3717.1265684669925,761.57935184082,442.0,2023-06-17
4879.515138381522,777.9419754557371,446.02315646090017,2023-06-18
3843.515699617956,942.5185869176696,542.0,2023-06-19
4436.669412607453,912.1641248659602,524.0,2023-06-20
3014.9681232091684,1317.2937567020138,506.0,2023-06-21
4098.943626113838,568.7103538663173,448.0,2023-06-22
3884.4886342971436,1013.1324317883951,430.0,2023-06-23
3990.0492816875776,970.351006791374,488.5112444686913,2023-06-24
1733.2491045845272,1564.4190396759209,530.0,2023-06-25
2117.392808767392,1429.6965923984278,512.0,2023-06-26
149.8881327602674,1802.943286071727,454.0,2023-06-27
1966.141916020194,1804.0370546884312,436.0,2023-06-28
985.3884909264567,1802.943286071727,551.889207258835,2023-06-29
5142.192580469174,1677.498868104373,536.0,2023-06-30
2901.973995271868,1803.5509353032294,518.0,2023-07-01
5019.3849689589315,371.79733110925764,500.0,2023-07-02
3451.8807412880187,1773.5484332181582,442.0,2023-07-03
6620.292621776505,255.04849279161203,456.9474689589304,2023-07-04
6700.05928350609,259.93387346598354,542.0,2023-07-05
